"CPUName","CPUPrice","CPUScore"
"Intel Xeon E-2226G @ 3.40GHz",331.37,11110
"Intel Xeon Silver 4209T @ 2.20GHz",649.25,11080
"Intel Xeon E5-2628L v4 @ 1.90GHz",529.18,11079
"Apple A16 Bionic",NA,11069
"Intel Xeon E5-4650 v2 @ 2.40GHz",249.95,11064
"Intel Core i7-9850H @ 2.60GHz",1305.76,11054
"AMD Ryzen 3 5400U",NA,11042
"AMD Ryzen 3 4100",66.55,11035
"Apple A12X Bionic",NA,11031
"AMD Ryzen 3 PRO 5450U",NA,11026
"AMD Ryzen 3 7330U",NA,10996
"Intel Core i5-11320H @ 3.20GHz",309,10981
"Intel Core i5-1230U",309,10977
"AMD Ryzen 3 PRO 4350GE",NA,10947
"AMD Ryzen 3 PRO 4200GE",NA,10930
"AMD Ryzen 3 4300G",129.93,10922
"AMD Ryzen 3 PRO 4350G",NA,10922
"AMD Ryzen 5 4500U",NA,10916
"Intel Xeon E5-4655 v4 @ 2.50GHz",4616,10912
"Intel Core i5-11300H @ 3.10GHz",309,10908
"Samsung s5e9945",NA,10904
"Mediatek MT6989",NA,10899
"Intel Xeon E-2176M @ 2.70GHz",450,10889
"Intel Core i7-9850HE @ 2.70GHz",395,10868
"Intel Core i3-1215U",NA,10854
"Intel Xeon E5-4650 v3 @ 2.10GHz",3838,10838
"Intel Core i5-10500E @ 3.10GHz",195,10827
"Intel Core i7-9750H @ 2.60GHz",960,10814
"Intel Core i7-9700T @ 2.00GHz",323,10768
"Intel Core i7-6800K @ 3.40GHz",90,10765
"Intel Core i7-1195G7 @ 2.90GHz",426,10751
"Intel Core i5-9600KF @ 3.70GHz",138.97,10684
"Intel Xeon E5-2470 v2 @ 2.40GHz",39.56,10675
"Intel Core i5-9600K @ 3.70GHz",126,10669
"Intel Core i7-9750HF @ 2.60GHz",395,10625
"AMD Ryzen 3 PRO 4355GE",NA,10559
"Intel Xeon E5-2658 v2 @ 2.40GHz",126.74,10528
"Intel Xeon E5-4620 v3 @ 2.00GHz",20.18,10525
"Intel Xeon W-2225 @ 4.10GHz",517.38,10522
"Intel Core i3-1210U",NA,10513
"Intel Xeon E5-2660 v2 @ 2.20GHz",16.99,10485
"Intel Core i9-8950HK @ 2.90GHz",583,10451
"Intel Xeon E5-2643 v3 @ 3.40GHz",229.95,10448
"Intel Xeon D-1567 @ 2.10GHz",NA,10447
"Intel Core i5-9600 @ 3.10GHz",105,10446
"Intel Xeon E5-1650 v3 @ 3.50GHz",1508,10424
"Intel Xeon E-2126G @ 3.30GHz",339.99,10392
"Intel Xeon E5-2630 v3 @ 2.40GHz",8.98,10382
"Intel Core i7-1185G7 @ 3.00GHz",426,10380
"Intel Xeon E5-4640 v3 @ 1.90GHz",NA,10372
"QTI QCS8550",NA,10369
"Intel Xeon Silver 4109T @ 2.00GHz",692.02,10348
"Intel Core i7-5930K @ 3.50GHz",222.37,10323
"Intel Core i7-1365URE",463,10278
"Intel Xeon E5-1660 v2 @ 3.70GHz",614.29,10268
"Intel Core i3-10325 @ 3.90GHz",190.1,10268
"Intel Core i7-1185G7E @ 2.80GHz",431,10256
"Intel Xeon Silver 4110 @ 2.10GHz",111.1,10215
"Intel Core i7-8850H @ 2.60GHz",395,10213
"Intel Core i7-9700TE @ 1.80GHz",323,10203
"Intel Core i5-8600K @ 3.60GHz",93,10201
"Intel Core i7-1165G7 @ 2.80GHz",426,10182
"Intel Core i7-8700T @ 2.40GHz",199,10179
"Snapdragon 8cx Gen 3 @ 2.69 GHz",NA,10110
"Intel Core i5-1155G7 @ 2.50GHz",309,10108
"Intel Core i5-10500T @ 2.30GHz",99.99,10088
"Intel Core i7-4960X @ 3.60GHz",179,10070
"Intel Xeon D-1541 @ 2.10GHz",NA,10056
"Intel Xeon W-2125 @ 4.00GHz",429.95,10033
"Intel Xeon D-1540 @ 2.00GHz",NA,10025
"Intel Core i3-10320 @ 3.80GHz",139.99,10011
"Intel Xeon E5-2687W @ 3.10GHz",1180,9996
"Intel Core i5-8600 @ 3.10GHz",89,9974
"Intel Core i3-N305",309,9973
"Intel Xeon E5-2628L v3 @ 2.00GHz",NA,9949
"Intel Core i7-11390H @ 3.40GHz",426,9943
"Intel Xeon E5-2630L v4 @ 1.80GHz",85,9943
"AMD Ryzen 3 PRO 4450U",NA,9925
"Intel Core i5-9500F @ 3.00GHz",130,9908
"Apple A15 Bionic",NA,9902
"Intel Xeon E-2274G @ 4.00GHz",431.54,9892
"Intel Core i7-8750H @ 2.20GHz",395,9888
"Intel Core i3-1215UE",313,9886
"ARM Firestorm-M1-Pro 8 Core 2064 MHz",NA,9872
"Intel Xeon E5-2650 v2 @ 2.60GHz",129.95,9863
"Intel Core i5-9500TE @ 2.20GHz",192,9861
"Intel Xeon E5-2648L v3 @ 1.80GHz",600.53,9847
"Intel Core i7-5820K @ 3.30GHz",139,9843
"Intel Core i5-9500 @ 3.00GHz",123,9810
"Intel Core i5-1145G7 @ 2.60GHz",NA,9800
"Intel Core i7-13800HRE",496,9781
"Intel Core i5-10400T @ 2.00GHz",182,9771
"Intel Xeon E-2324G @ 3.10GHz",274.62,9771
"Intel Core i5-1135G7 @ 2.40GHz",309,9748
"Intel Xeon E5-2690 @ 2.90GHz",1882,9737
"Intel Xeon D-1718T @ 2.60GHz",314,9713
"Intel Xeon E-2174G @ 3.80GHz",649.95,9689
"Intel Xeon E5-2689 @ 2.60GHz",182.75,9681
"AMD Ryzen 3 5300U",NA,9677
"Intel Core i7-7700K @ 4.20GHz",148,9647
"AMD Ryzen 5 PRO 3350GE",NA,9643
"Intel Xeon E-2244G @ 3.80GHz",334.73,9624
"Intel Core i5-9600T @ 2.30GHz",213,9621
"Intel Core i3-1125G4 @ 2.00GHz",NA,9618
"Intel Core i7-7740X @ 4.30GHz",88.6,9607
"Intel Xeon E5-4620 v2 @ 2.60GHz",91,9590
"Intel Core i7-10710U @ 1.10GHz",644.99,9576
"Intel Xeon Bronze 3408U",415,9557
"Intel Core i5-8500 @ 3.00GHz",79.99,9546
"Intel Xeon E5-2651 v2 @ 1.80GHz",278.1,9544
"ARM HUAWEI,Kunpeng 920 24 Core 2600 MHz",NA,9496
"Intel Xeon Gold 5222 @ 3.80GHz",833.55,9489
"Intel U300E",196,9478
"Intel Core i7-1265UE",472,9471
"Intel Core i5-9400F @ 2.90GHz",69.48,9469
"AMD Ryzen 5 2500X",NA,9469
"ZHAOXIN KaiXian KX-7000",NA,9450
"AMD Custom APU 0932",NA,9443
"Intel Xeon E5-2680 @ 2.70GHz",134.01,9399
"Intel Core i7-4930K @ 3.40GHz",98,9399
"Intel Xeon E5-4655 v3 @ 2.90GHz",4616,9377
"Intel Core i5-9400 @ 2.90GHz",133.93,9376
"Apple A12Z Bionic",NA,9365
"Snapdragon 8 Gen2 Mobile Platform for Galaxy",NA,9362
"Intel Pentium Gold 8505",NA,9345
"AMD Ryzen 5 3350GE",NA,9343
"Intel Core i5-8600T @ 2.30GHz",199.99,9330
"Intel Xeon E5-1650 v2 @ 3.50GHz",229.95,9327
"Intel Xeon E5-4627 v2 @ 3.30GHz",498.95,9320
"Intel Xeon E-2144G @ 3.60GHz",331.84,9314
"Intel Core i3-10300 @ 3.70GHz",75,9308
"Intel Xeon E3-1275 v6 @ 3.80GHz",356.83,9303
"Intel Core i3-10305 @ 3.80GHz",228.69,9291
"Intel Xeon D-1557 @ 1.50GHz",694,9285
"Intel Core i5-1245UE",312,9283
"AMD Ryzen 5 PRO 3350G",NA,9272
"Intel Core i7-1068NG7 @ 2.30GHz",426,9267
"Intel Xeon E-2134 @ 3.50GHz",697,9260
"AMD Ryzen 5 3400G",97.95,9254
"Hygon C86 3185 8-core",NA,9243
"Intel Core i5-8400 @ 2.80GHz",140,9237
"AMD Ryzen 5 7520U",NA,9207
"Intel Core i5-1145G7E @ 2.60GHz",312,9196
"Intel Xeon E5-2620 v4 @ 2.10GHz",55,9189
"Intel Xeon E5-2643 v2 @ 3.50GHz",19.95,9184
"Intel Core i7-1160G7 @ 1.20GHz",426,9181
"Intel Xeon E5-2629 v3 @ 2.40GHz",499.88,9139
"Mediatek MT6983W/CZA",NA,9136
"Intel Xeon E-2234 @ 3.60GHz",250,9114
"QTI SM8550",NA,9110
"Mediatek MT8798Z/CNZA",NA,9110
"Intel Xeon D-1715TER @ 2.40GHz",285,9104
"AMD Ryzen 5 1500X",45.26,9103
"AMD Ryzen 5 PRO 1500",NA,9099
"AMD Ryzen 5 PRO 3400G",NA,9093
"Intel Xeon D-1548 @ 2.00GHz",555,9075
"Google Tensor G4",NA,9064
"Intel Xeon E5-4648 v3 @ 1.70GHz",NA,9061
"Intel Core i5-1140G7 @ 1.10GHz",NA,9056
"Intel Xeon E5-2450 v2 @ 2.50GHz",284.95,9041
"Intel Xeon E3-1280 v6 @ 3.90GHz",562,9032
"Intel Core i3-10105F @ 3.70GHz",81.52,8998
"AMD Ryzen 5 3350G",NA,8989
"Intel Xeon E5-2670 @ 2.60GHz",223,8966
"Intel Xeon E3-1270 v6 @ 3.80GHz",719.95,8931
"Intel Core i7-6700K @ 4.00GHz",90,8928
"Intel Core i5-8500B @ 3.00GHz",192,8914
"Intel Xeon Silver 4108 @ 1.80GHz",126.98,8909
"AMD Ryzen 5 3400GE",355.4,8907
"Intel Core i3-1315UE",312,8906
"Intel Core i5-1038NG7 @ 2.00GHz",320,8897
"Intel Core i5-3170K @ 3.20GHz",NA,8882
"Intel Xeon Gold 5122 @ 3.60GHz",389.95,8868
"AMD Ryzen 3 7320U",NA,8834
"Intel Xeon E5-2648L v2 @ 1.90GHz",945,8828
"Intel Core i3-1305U",309,8789
"Intel Core i3-N300",309,8776
"Intel Core i3-10100F @ 3.60GHz",69.99,8759
"Intel Xeon E3-1245 v6 @ 3.70GHz",198.48,8759
"Intel Xeon E3-1285 v6 @ 4.10GHz",989.95,8751
"Mediatek MT8792",NA,8744
"AMD Ryzen 5 2400G",74,8727
"Intel Xeon E5-2630L v3 @ 1.80GHz",79,8701
"ARM - 32 Core 3300 MHz",NA,8684
"ARM X-Gene 32 Core 3300 MHz",NA,8684
"AMD EPYC 3201",NA,8672
"Intel Xeon E3-1240 v6 @ 3.70GHz",29.99,8656
"Intel Core i3-10100 @ 3.60GHz",86.99,8654
"Intel Core i7-7700 @ 3.60GHz",100,8648
"Intel Atom C5125",299,8631
"AMD Ryzen 3 7320C",NA,8614
"ARM - 8 Core 2424 MHz",NA,8610
"QTI SM7675",NA,8597
"Intel Xeon W-2223 @ 3.60GHz",398.95,8584
"Intel Core i3-10105 @ 3.70GHz",85.99,8573
"AMD Ryzen Embedded V1807B",NA,8553
"Apple A14 Bionic",NA,8548
"Intel Core i7-8809G @ 3.10GHz",NA,8546
"Intel Core i5-1130G7 @ 1.10GHz",309,8545
"Intel Core i7-3970X @ 3.50GHz",69,8541
"Intel Xeon E5-4650L @ 2.60GHz",200,8533
"AMD Ryzen 5 PRO 2400G",NA,8517
"Intel Xeon W-11155MLE @ 1.80GHz",242,8502
"Intel Core i5-10400H @ 2.60GHz",250,8495
"QTI SM8635",NA,8491
"AMD Ryzen Embedded R2544",NA,8486
"Intel Xeon W-2123 @ 3.60GHz",427.11,8470
"Intel Core i5-10500TE @ 2.30GHz",195,8449
"Intel Xeon E5-2628 v3 @ 2.50GHz",49.99,8447
"Intel Core i7-3960X @ 3.30GHz",274.85,8446
"Mediatek MT8195",NA,8419
"Intel Xeon E5-1660 @ 3.30GHz",267.19,8413
"Intel Xeon E3-1585 v5 @ 3.50GHz",556,8408
"Intel Xeon E3-1280 v5 @ 3.70GHz",298.95,8407
"Intel Xeon E5-4650 @ 2.70GHz",13.99,8407
"Intel Xeon E3-1275 v5 @ 3.60GHz",444.04,8403
"Intel Atom x7835RE",127,8400
"AMD EPYC 3151",NA,8376
"Intel Core i5-10300H @ 2.50GHz",250,8365
"Intel Core i3-10100E @ 3.20GHz",125,8365
"Intel Core i7-8559U @ 2.70GHz",617,8358
"Intel Core i5-9400T @ 1.80GHz",182,8348
"Intel Xeon E3-1270 v5 @ 3.60GHz",392.45,8346
"Intel Xeon E5-2665 @ 2.40GHz",149.95,8307
"Intel U300",193,8299
"Intel Xeon E5-2470 @ 2.30GHz",125.66,8295
"AMD Opteron 6386 SE",880.11,8291
"AMD Ryzen 5 PRO 3400GE",NA,8285
"Intel Core i7-1065G7 @ 1.30GHz",426,8283
"Intel Core i7-1180G7 @ 1.30GHz",426,8270
"AMD Athlon Gold PRO 4150GE",NA,8259
"Intel Xeon E3-1240 v5 @ 3.50GHz",803,8257
"Intel Core i7-8569U @ 2.80GHz",431,8235
"ARM Avalanche-M2 4 Core 2424 MHz",NA,8233
"Intel Xeon E3-1260L v5 @ 2.90GHz",258.7,8226
"Intel Core i5-1145GRE @ 2.60GHz",362,8221
"Intel Core i5-9500T @ 2.20GHz",192,8213
"Intel Xeon E3-1230 v6 @ 3.50GHz",449.95,8212
"AMD Ryzen Embedded V1756B",NA,8208
"Intel Core i7-3930K @ 3.20GHz",49.99,8206
"ARM X-Gene 32 Core 3000 MHz",NA,8202
"Intel Xeon E-2276ME @ 2.80GHz",450,8167
"Intel Core i5-10200H @ 2.40GHz",250,8156
"Intel Xeon E5-2660 @ 2.20GHz",12.99,8149
"Intel Xeon E-2314 @ 2.80GHz",243.37,8146
"Intel Core i3-10305T @ 3.00GHz",143,8136
"ARM - 32 Core 2911 MHz",NA,8132
"Google Tensor G3",NA,8122
"Intel Xeon E5-1650 @ 3.20GHz",146.47,8113
"Intel Core i5-1035G7 @ 1.20GHz",320,8111
"Intel Core i7-10810U @ 1.10GHz",443,8107
"AMD Ryzen 7 3750H",NA,8096
"Intel Xeon E3-1585L v5 @ 3.00GHz",445,8083
"Intel Core i7-6700 @ 3.40GHz",77.9,8078
"Intel Xeon E3-1285L v4 @ 3.40GHz",1222,8074
"Intel Core i7-4790K @ 4.00GHz",79.98,8065
"CentaurHauls @2500MHz",NA,8055
"Intel Core i7-1185GRE @ 2.80GHz",NA,8046
"Intel Xeon E3-1245 v5 @ 3.50GHz",19.99,8028
"Intel Xeon D-1559 @ 1.50GHz",NA,8015
"AMD Ryzen 7 2800H",NA,8013
"Intel Core i3-10105T @ 3.00GHz",89.99,8007
"AMD Ryzen 5 2600H",NA,8002
"Intel Xeon D-2712T @ 1.90GHz",363,7990
"Intel Core i3-10300T @ 3.00GHz",99,7975
"Intel Xeon E3-1535M v6 @ 3.10GHz",623,7953
"Intel Core i7-8709G @ 3.10GHz",NA,7947
"Intel Xeon E3-1515M v5 @ 2.80GHz",NA,7938
"Intel Xeon E3-1230 v5 @ 3.40GHz",37.8,7930
"Mediatek Dimensity 9200 (MT6985)",NA,7928
"Intel Core i5-9400H @ 2.50GHz",250,7902
"Intel Core i7-9850HL @ 1.90GHz",395,7897
"Intel Core i5-8259U @ 2.30GHz",519.99,7879
"Intel Core i5-1035G4 @ 1.10GHz",309,7873
"Intel Core i7-995X @ 3.60GHz",NA,7862
"Intel Xeon E3-1575M v5 @ 3.00GHz",1207,7857
"AMD Opteron 6348",1100.11,7850
"Intel Xeon E3-1545M v5 @ 2.90GHz",NA,7820
"Intel Xeon E3-1285 v4 @ 3.50GHz",NA,7808
"Intel Core i7-5950HQ @ 2.90GHz",NA,7807
"ARM Firestorm 4 Core 2064 MHz",NA,7804
"Intel Xeon E5-2620 v3 @ 2.40GHz",29,7804
"ARM Firestorm-M1 4 Core 2064 MHz",NA,7803
"AMD Ryzen Embedded V1807F",NA,7775
"AMD Ryzen 5 3550H",NA,7766
"AMD Ryzen 5 1400",110,7753
"Intel Xeon D-1813NT @ 2.20GHz",NA,7732
"Intel Core i5-8500T @ 2.10GHz",229.95,7728
"Mediatek MT6983Z/CZA",NA,7726
"AMD Athlon Gold PRO 3150G",NA,7702
"Intel Core i3-9350K @ 4.00GHz",119,7700
"Intel Core i7-5775C @ 3.30GHz",174.85,7697
"Intel Core i7-8705G @ 3.10GHz",1535.11,7689
"AMD Ryzen 5 3550U",NA,7681
"Intel Xeon E3-1270L v4 @ 3.00GHz",NA,7662
"AMD Ryzen 5 PRO 2400GE",NA,7661
"Intel Xeon E5-2440 v2 @ 1.90GHz",129.95,7655
"Intel Xeon E-2224G @ 3.50GHz",268.02,7648
"Mediatek MT6895Z_A/TCZA",NA,7640
"Intel Core i5-8400H @ 2.50GHz",250,7636
"MediaTek MT6895",NA,7615
"Intel Core i7-5775R @ 3.30GHz",NA,7609
"Intel Xeon D-1531 @ 2.20GHz",348,7592
"Intel Xeon E5-1630 v4 @ 3.70GHz",NA,7591
"Intel Xeon E5-2640 v2 @ 2.00GHz",149.95,7590
"Intel Xeon E5-2650L v2 @ 1.70GHz",39,7586
"Intel Core i7-7700T @ 2.90GHz",150,7584
"AMD Ryzen 3 2300X",178.09,7578
"Intel Core i5-9300H @ 2.40GHz",250,7570
"Intel Core i3-9350KF @ 4.00GHz",99.37,7549
"Mediatek Dimensity 8200-Ultimate (MT6896)",NA,7543
"Intel Core i7-7820EQ @ 3.00GHz",378,7542
"Intel Xeon E3-1271 v3 @ 3.60GHz",123.5,7535
"Intel Xeon E5-2450 @ 2.10GHz",49,7534
"AMD Ryzen 5 2400GE",NA,7521
"Intel Xeon E3-1535M v5 @ 2.90GHz",623,7511
"Intel Xeon E3-1276 v3 @ 3.60GHz",906,7508
"Intel Xeon E5-2667 @ 2.90GHz",684,7492
"Intel Xeon E5-2637 v4 @ 3.50GHz",115,7490
"Intel Core i5-8279U @ 2.40GHz",320,7489
"Intel Core i5-8260U @ 1.60GHz",439.99,7485
"AMD Ryzen 7 PRO 3700U",NA,7483
"Intel Xeon E3-1505M v6 @ 3.00GHz",NA,7474
"Intel Xeon E5-2630 v2 @ 2.60GHz",112,7473
"Intel Core i5-8257U @ 1.40GHz",320,7470
"Mediatek MT6897",NA,7469
"Intel Core i5-8300H @ 2.30GHz",250,7456
"Intel Xeon E3-1281 v3 @ 3.70GHz",546.25,7452
"Intel Xeon E5-2608L v4 @ 1.60GHz",363,7447
"Intel Core i5-8400T @ 1.70GHz",139,7446
"Intel Xeon D-1537 @ 1.70GHz",571,7444
"AMD Ryzen 3 4300U",NA,7433
"Intel Xeon E3-1286 v3 @ 3.70GHz",839,7418
"Intel Xeon E5-1630 v3 @ 3.70GHz",1354,7396
"Intel Xeon E3-1280 v3 @ 3.60GHz",249,7393
"Intel Xeon E5-1620 v4 @ 3.50GHz",112.55,7385
"Intel Atom P5322",352,7378
"Intel Core i7-7820HK @ 2.90GHz",378,7377
"Intel Xeon E5-2650 @ 2.00GHz",51.49,7370
"Intel Core i7-7920HQ @ 3.10GHz",568,7366
"Intel Core i5-1035G1 @ 1.00GHz",297,7366
"Intel Xeon E-2124G @ 3.40GHz",464.45,7365
"Intel Xeon @ 2.00GHz",NA,7363
"Intel Core i3-9320 @ 3.70GHz",215.67,7358
"Intel Core i7-6920HQ @ 2.90GHz",568,7358
"Intel Core i7-8557U @ 1.70GHz",431,7342
"Intel Core i5-9300HF @ 2.40GHz",250,7329
"Google GS201",NA,7312
"AMD Ryzen 3 3200GE",NA,7309
"Intel Xeon Phi 7210 @ 1.30GHz",1881,7306
"Intel Xeon E3-1246 v3 @ 3.50GHz",758,7292
"QTI SM8475",NA,7289
"Intel Core i7-8706G @ 3.10GHz",NA,7287
"Intel Core i3-10100T @ 3.00GHz",122,7281
"QTI SM7475",NA,7280
"AMD Opteron 6281",NA,7279
"Intel Core i7-4790 @ 3.60GHz",59.99,7270
"Intel Xeon E3-1270 v3 @ 3.50GHz",419,7263
"Mediatek MT8797Z/CNZA",NA,7260
"Intel Xeon E-2224 @ 3.40GHz",296.95,7259
"Intel Xeon E5-2637 v3 @ 3.50GHz",229.95,7246
"AMD Ryzen 5 Microsoft Surface Edition",NA,7243
"AMD Ryzen 5 3580U",NA,7236
"AMD Ryzen 3 PRO 1300",NA,7234
"Intel Xeon E5-4610 v3 @ 1.70GHz",1219,7229
"Intel Xeon W3690 @ 3.47GHz",49.99,7226
"Intel Xeon E3-1275 v3 @ 3.50GHz",443.41,7213
"Intel Core i7-6700T @ 2.80GHz",111.11,7210
"Intel Xeon E5-2628L v2 @ 1.90GHz",NA,7181
"Intel Xeon D-1539 @ 1.60GHz",486,7175
"Intel Core i7-990X @ 3.47GHz",99.99,7168
"Intel 300",82,7160
"Intel Core i7-7820HQ @ 2.90GHz",378,7158
"Mediatek MT6891Z_T/CZA",NA,7156
"AMD Ryzen 7 3700U",NA,7150
"vendor Kirin9000E",NA,7141
"Intel Xeon E3-1241 v3 @ 3.50GHz",254.74,7140
"Intel Core i7-4771 @ 3.50GHz",77.99,7137
"Intel Core i3-9300 @ 3.70GHz",150,7137
"Intel Core i7-4770K @ 3.50GHz",135,7132
"AMD Ryzen 3 3200G",78.99,7129
"AMD Athlon Gold 3150G",NA,7112
"AMD Ryzen 7 PRO 2700U",NA,7112
"Intel Core i5-8269U @ 2.60GHz",320,7111
"Intel Xeon X5679 @ 3.20GHz",NA,7095
"Intel Core i7-6770HQ @ 2.60GHz",619,7092
"Intel Core i7-4770 @ 3.40GHz",74.95,7062
"Intel Core i7-6820HK @ 2.70GHz",378,7057
"Samsung s5e8845",NA,7054
"Intel Xeon E3-1231 v3 @ 3.40GHz",349.95,7048
"Mediatek MT6895Z_B/TCZA",NA,7044
"Intel Xeon E3-1240 v3 @ 3.40GHz",182.56,7040
"Intel Xeon X5690 @ 3.47GHz",186.2,7040
"Intel Xeon E5-2430 v2 @ 2.50GHz",1233,7039
"Intel Xeon E5-4620 @ 2.20GHz",66.29,7037
"Intel Core i7-5850EQ @ 2.70GHz",435,7036
"Intel Xeon E3-1245 v3 @ 3.40GHz",534,7023
"Intel Core i7-4790S @ 3.20GHz",85.04,7020
"Intel Xeon E5-4640 @ 2.40GHz",13.99,7012
"AMD Ryzen 5 PRO 3500U",NA,7010
"AMD Athlon Gold PRO 3150GE",NA,7006
"Intel Core i7-6820EQ @ 2.80GHz",NA,7001
"Intel Core i5-7640X @ 4.00GHz",149,7001
"AMD Ryzen Embedded R2514",NA,6998
"Intel Xeon W3680 @ 3.33GHz",125.05,6994
"Intel Xeon E5-1620 v3 @ 3.50GHz",12.99,6992
"Intel Xeon E5-4607 v2 @ 2.60GHz",72.8,6986
"AMD Ryzen 3 PRO 3200G",NA,6980
"Intel Xeon E3-1285 v3 @ 3.60GHz",NA,6974
"AMD Ryzen 3 1300X",62.26,6973
"AMD Ryzen 7 3780U",NA,6961
"Intel Xeon E3-1505M v5 @ 2.80GHz",NA,6960
"Intel Xeon E3-1265L v4 @ 2.30GHz",NA,6954
"Intel Core i5-8305G @ 2.80GHz",NA,6951
"AMD Ryzen 5 3500U",NA,6942
"Intel Xeon E5-2623 v4 @ 2.60GHz",9.99,6940
"Intel Core i7-980 @ 3.33GHz",290.84,6936
"Intel Xeon E3-1286L v3 @ 3.20GHz",774,6929
"AMD Opteron 6287 SE",NA,6925
"Intel Xeon E-2124 @ 3.30GHz",459.53,6915
"vendor Kirin9000",NA,6914
"Intel Core i7-7700HQ @ 2.80GHz",378,6909
"Intel Core i3-8350K @ 4.00GHz",59.99,6871
"Intel Core i3-9100E @ 3.10GHz",NA,6868
"Intel Core i7-5850HQ @ 2.70GHz",434,6866
"Intel Xeon X5680 @ 3.33GHz",23.99,6840
"Intel Core i7-4940MX @ 3.10GHz",699.95,6830
"Intel Xeon D-1528 @ 1.90GHz",NA,6823
"Intel Core i7-6820HQ @ 2.70GHz",NA,6819
"Intel Xeon E3-1230 v3 @ 3.30GHz",309.88,6817
"AMD Ryzen 3 PRO 2200G",NA,6812
"AMD Ryzen 7 2700U",NA,6810
"Intel Core i7-980X @ 3.33GHz",57.99,6810
"Intel Xeon E3-1285L v3 @ 3.10GHz",898.5,6803
"Intel Core i5-7600K @ 3.80GHz",108.62,6800
"Intel Xeon E5-2623 v3 @ 3.00GHz",229.95,6793
"AMD FX-9590 Eight-Core",298.02,6789
"ARM Firestorm 8 Core 2064 MHz",NA,6775
"Intel Xeon E5-2448L v2 @ 1.80GHz",1424,6774
"AMD Ryzen 3 2200G",58.47,6756
"Intel Core i7-4770S @ 3.10GHz",79.99,6749
"AMD Ryzen 5 3450U",NA,6736
"Intel Core i3-9100F @ 3.60GHz",49.99,6736
"Intel Pentium Gold G7400",103.65,6735
"Qualcomm SM8250",NA,6734
"Snapdragon 8cx Gen 2 @ 3.0 GHz",NA,6728
"Google Tensor",NA,6726
"QTI SG8175P",NA,6713
"Intel Xeon E5-2630L v2 @ 2.40GHz",83.06,6703
"QTI SM7550",NA,6702
"AMD Ryzen 3 PRO 3200GE",NA,6701
"Intel Core i7-10610U @ 1.80GHz",409,6694
"Snapdragon 8cx Gen 2 @ 3.15 GHz",NA,6691
"AMD Opteron 6380",369.96,6687
"AMD Ryzen Embedded V1605B",NA,6677
"Intel Xeon D-2123IT @ 2.20GHz",213,6676
"HiSilicon Kirin",NA,6669
"AMD Ryzen 5 PRO 2500U",NA,6653
"Mediatek MT6895Z/TCZA",NA,6652
"Mediatek MT6891Z/CZA",NA,6644
"MediaTek MT6983",NA,6643
"Mediatek MT8789",NA,6640
"Intel Core i3-9100 @ 3.60GHz",90.21,6625
"Intel Xeon E3-1275 V2 @ 3.50GHz",374,6620
"Intel Core i7-4770R @ 3.20GHz",NA,6620
"Qualcomm Technologies, Inc SM8350AC",NA,6588
"Intel Core i7-10510U @ 1.80GHz",409,6580
"QTI SM8250",NA,6576
"Intel Xeon E3-1280 V2 @ 3.60GHz",525,6563
"Qualcomm SM8350",NA,6561
"Qualcomm Technologies, Inc SA8195P",NA,6554
"MT8797Z/CNZA",NA,6550
"CentaurHauls @2000MHz",NA,6549
"AMD Ryzen 5 2500U",NA,6546
"Intel Core i7-970 @ 3.20GHz",523.26,6546
"Intel Xeon E5-1620 v2 @ 3.70GHz",140,6544
"Intel Core i5-7600 @ 3.50GHz",79,6535
"QTI SM8350",NA,6532
"Intel Core i7-6700HQ @ 2.60GHz",378,6521
"Intel Core i7-4980HQ @ 2.80GHz",NA,6513
"Intel Xeon E3-1240L v5 @ 2.10GHz",278,6511
"Mediatek MT6891Z_Z/CZA",NA,6509
"Intel Xeon E3-1270 V2 @ 3.50GHz",154.96,6488
"Intel Core i7-4820K @ 3.70GHz",80.55,6488
"MT6893Z_Z/CZA",NA,6485
"Microsoft SQ2 @ 3.15 GHz",NA,6477
"MT6893Z/CZA",NA,6467
"Intel Core i7-1060NG7 @ 1.20GHz",NA,6466
"Intel Core i7-3770K @ 3.50GHz",69.99,6464
"Intel Xeon E5-4610 @ 2.40GHz",211.23,6460
"Intel Xeon E5-2637 v2 @ 3.50GHz",129.95,6457
"Odin based on Qualcomm Technologies, Inc SM8350",NA,6456
"Intel Xeon W3670 @ 3.20GHz",295.19,6449
"redwood based Qualcomm Technologies, Inc. SM7325",NA,6448
"Intel Xeon Silver 4112 @ 2.60GHz",222.94,6446
"Intel Core i5-10310U @ 1.70GHz",297,6438
"Mediatek MT6893Z_T/CZA",NA,6438
"Samsung s5e9925",NA,6436
"Qualcomm Technologies, Inc SM7325",NA,6431
"Qualcomm Technologies, Inc SM8250_AC",NA,6416
"Intel Xeon E5-2608L v3 @ 2.00GHz",441,6415
"Mediatek MT6889",NA,6415
"Mediatek MT6883Z/CZA",NA,6413
"Intel Core i7-3770 @ 3.40GHz",49,6413
"Mediatek Dimensity 7300-Ultra (MT6878)",NA,6408
"AMD Ryzen 3 PRO 2200GE",NA,6404
"Intel Xeon X5675 @ 3.07GHz",13.98,6396
"QTI SM8450",NA,6386
"AMD Opteron 6282 SE",770.11,6385
"MT6893Z_B/CZA",NA,6371
"taoyao based Qualcomm Technologies, Inc. Yupik IDP",NA,6359
