"CPUName","CPUPrice","CPUScore"
"Intel Xeon W-2275 @ 3.30GHz",1286.46,27866
"AMD Ryzen 7 5800X",157.21,27848
"Intel Core i5-14450HX",337,27773
"AMD Ryzen 7 8845H",NA,27731
"Intel Core i5-12600K",169,27698
"AMD Ryzen 7 PRO 8700GE",NA,27646
"Intel Core i5-13600HX",284,27606
"AMD Ryzen Threadripper 1950X",624.95,27600
"Intel Core i5-13490F",194.99,27559
"AMD EPYC 4244P",NA,27530
"Intel Xeon Gold 6212U @ 2.40GHz",3902.62,27470
"Intel Xeon Gold 6150 @ 2.70GHz",199,27446
"AMD EPYC 7571",NA,27445
"Intel Core i7-13700T",384,27439
"Intel Xeon Gold 5317 @ 3.00GHz",923.16,27387
"Intel Core i9-12900HK",635,27346
"Intel Xeon Platinum 8124M @ 3.00GHz",NA,27336
"Intel Xeon D-2775TE @ 2.00GHz",1820,27299
"AMD EPYC 72F3",1243.22,27252
"Intel Core i7-13700H",502,27161
"Intel Xeon Gold 6252 @ 2.10GHz",1006.4,27148
"AMD Ryzen 5 PRO 7645",NA,27106
"AMD Ryzen 5 7600",197.98,27094
"Intel Xeon Gold 6208U @ 2.90GHz",950,27085
"Intel Xeon Gold 6230 @ 2.10GHz",837.84,27069
"Intel Core i5-14500HX",337,27057
"Intel Core i7-13800H",457,27056
"AMD Ryzen 5 7500F",NA,26953
"Intel Core i5-13600T",255,26912
"AMD Ryzen 5 7645HX",NA,26868
"Intel Xeon W-3245M @ 3.20GHz",5002,26814
"Intel Core i9-12900E",NA,26666
"Intel Xeon Platinum 8175M @ 2.50GHz",NA,26659
"AMD Ryzen 7 5700X",144.96,26658
"Apple M2 Max 12 Core 3680 MHz",NA,26623
"AMD Ryzen 7 PRO 8840HS",NA,26620
"AMD Ryzen 7 PRO 7840HS",NA,26611
"Apple M2 Pro 12 Core 3480 MHz",NA,26566
"Intel Core i5-13600HE",317,26540
"Intel Xeon w3-2435",669,26428
"Intel Xeon D-2796TE @ 2.00GHz",2184,26342
"Intel Core Ultra 7 165H",NA,26340
"AMD Ryzen 7 5700X3D",209.45,26333
"Intel Xeon Gold 6226R @ 2.90GHz",1178.64,26297
"Intel Xeon Gold 6242 @ 2.80GHz",783.02,26288
"Intel Core i9-10920X @ 3.50GHz",659,26166
"Intel Core i7-12700H",457,26136
"Apple M3 Pro 12 Core",NA,26112
"AMD Ryzen 5 7600X3D",384.99,26074
"Intel Xeon W-2265 @ 3.50GHz",876.39,25973
"AMD Ryzen 7 PRO 5845",NA,25961
"AMD EPYC 7551",112.02,25960
"Intel Core i9-7940X @ 3.10GHz",300,25944
"Intel Xeon W-3323 @ 3.50GHz",949,25875
"AMD Ryzen Threadripper 2990X",NA,25874
"AMD EPYC 7451",1787,25863
"Intel Core i5-14400F",175.6,25767
"AMD Ryzen 7 5800",NA,25761
"AMD EPYC 7351P",300,25657
"Intel Xeon E5-2699A v4 @ 2.40GHz",4938,25654
"Intel Core i5-14400",212.73,25607
"Intel Xeon E5-2698R v4 @ 2.20GHz",NA,25605
"Intel Xeon Gold 5515+",1099,25587
"Intel Xeon E-2468",426,25579
"Intel Xeon W-3235 @ 3.30GHz",1998.95,25578
"Intel Core i5-13450HX",326,25569
"AMD Ryzen Threadripper 2920X",250.1,25444
"Intel Xeon Gold 6152 @ 2.10GHz",650,25441
"Intel Xeon Platinum 8167M @ 2.00GHz",NA,25396
"AMD Ryzen 5 8600G",169.72,25394
"AMD Ryzen 5 PRO 8600G",NA,25288
"Intel Xeon W-1390P @ 3.50GHz",NA,25240
"Intel Core i9-11900K @ 3.50GHz",239.99,25230
"Intel Xeon Gold 6142 @ 2.60GHz",466.52,25215
"Intel Core i5-13400F",191.84,25178
"Intel Core i9-9920X @ 3.50GHz",395.15,25163
"AMD EPYC 7272",209.99,25161
"Intel Core i5-14600T",255,25110
"AMD Ryzen Z1 Extreme",NA,25095
"Apple M4 10 Core",NA,25080
"Intel Xeon E5-2699 v4 @ 2.20GHz",1595.95,25018
"Intel Core i9-11900KF @ 3.50GHz",259,25004
"AMD Ryzen 7 7840U",NA,24980
"Intel Core Ultra 7 155H",NA,24961
"Intel Xeon Gold 5415+",1066,24951
"AMD EPYC 7501",1325.96,24925
"Intel Core i7-13620H",502,24886
"Intel Xeon E5-2696 v4 @ 2.20GHz",1829.95,24851
"Intel Xeon Gold 6434",2585.77,24836
"Intel Xeon Gold 6246 @ 3.30GHz",3113.22,24829
"Intel Core i7-12800H",457,24813
"Intel Xeon Gold 6143 @ 2.80GHz",NA,24786
"AMD Ryzen 9 6900HX",NA,24785
"Intel Xeon Gold 6222V @ 1.80GHz",1710.89,24764
"Intel Xeon Gold 5218R @ 2.10GHz",825,24742
"Apple M3 Pro 11 Core",NA,24736
"AMD Ryzen 7 PRO 7840U",NA,24732
"Intel Xeon E E-2486",506,24713
"AMD Ryzen 7 7840S",NA,24635
"Intel Core i5-12600HE",315,24599
"Intel Core i5-14400T",221,24598
"Intel Core i7-11700K @ 3.60GHz",245.95,24585
"AMD Ryzen 7 5700G",159,24553
"Qualcomm Snapdragon X Elite - X1E-84-100",NA,24528
"Intel Core i5-14500T",232,24454
"Intel Xeon Gold 6140 @ 2.30GHz",490,24445
"AMD Ryzen 7 PRO 5750G",NA,24436
"AMD Ryzen 7 8840HS",NA,24403
"Intel Xeon Silver 4410Y",563,24399
"AMD Ryzen 7 5700",149.98,24268
"AMD Ryzen 5 PRO 8600GE",NA,24262
"Intel Core i5-13600H",311,24255
"Intel Xeon Gold 5220 @ 2.20GHz",1033.84,24154
"Intel Xeon E5-2679 v4 @ 2.50GHz",2702,24131
"Intel Xeon Gold 6138 @ 2.00GHz",219,24121
"Intel Xeon Silver 4216R @ 2.20GHz",NA,24027
"Intel Core i5-12600HX",284,23949
"AMD Ryzen 7 7735HS",NA,23947
"Intel Core i7-11700KF @ 3.60GHz",241.49,23922
"Intel Xeon W-1390 @ 2.80GHz",573.99,23902
"Intel Xeon W-2170B @ 2.50GHz",NA,23902
"AMD Ryzen 7 7735H",NA,23851
